2020;Mix2020;2019;Mix2019;2018;Mix2018;2017;Mix2017;2016;Mix2016;2015;Mix2015;2014;Mix2014;2013;Mix2013;2012;Mix2012;2011;Mix2011
ANOTHER ENERGY OPTION, S.L.;0,00;AUDAX ENERGÍA, S.L.U.;0,00;AXPO IBERIA, S.L.;0,00;CEPSA GAS Y ELECTRICIDAD, S.A.;0,00;COMPAÑÍA LUMISA ENERGÍAS, S.L.;0,02;ELÉCTRICA DE MELIANA, S.C.V.;0,00;GAS NATURAL COMERCIALIZADORA, S.A.;0,29;GESTERNOVA, S.A.;0,00;NEXUS ENERGÍA, S.A.;0,30;NEXUS RENOVABLES, S.L.;0,00
AQUÍ ENERGÍA, S.L.;0,00;AURA ENERGÍA, S.L.;0,00;BASSOLS ENERGÍA COMERCIAL, S.L.;0,00;CLIDOM ENERGY, S.L.;0,00;COOPERATIVA ELÉCTRICA DE CASTELLAR, S.C.V.;0,00;ELÉCTRICA DE SOT DE CHERA S. COOP.V.;0,00;GAS NATURAL SERVICIOS SDG, S.A.;0,29;GOIENER S.COOP;0,00;NEXUS RENOVABLES, S.L.;0,01;SOM ENERGÍA, S.C.C.L.;0,00
ARACÁN ENERGÍA, S.L.;0,24;AUSARTA PRIMA, S.L.;0,00;CATGAS ENERGÍA, S.A.;0,40;COMERCIALIZADORA ELÉCTRICA DE CÁDIZ, S.A.;0,00;COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP. V.;0,00;ELÉCTRICA DE VINALESA, S.L.U.;0,21;GDF SUEZ ENERGÍA ESPAÑA, S.A.U.;0,34;HIDROCANTABRICO ENERGÍA, S.A. Unipersonal;0,17;SOM ENERGÍA, S.C.C.L.;0,00;UNION FENOSA COMERCIAL, S.L.;0,33
ARSUS ENERGÍA, S.L;0,25;AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.;0,19;CEMOI ELECTRICITE, S.L. ;0,38;COMERCIALIZADORA ELÉCTRICA TALAYUELAS, S.L.;0,00;COOPERATIVA ELÉCTRICA BENÉFICA SAN FRANCISCO DE ASÍS, COOP. V.;0,00;EMASP, S. COOP.;0,00;GEOATLANTER, S.L.;0,00;HIDROELECTRICA DEL VALIRA, S.L.;0,14;UNION FENOSA COMERCIAL, S.L.;0,39;;
ASAL DE ENERGÍA, S.L. ;0,00;AXPO IBERIA, S.L.;0,00;"CEPSA COMERCIAL PETRÓLEO,
S.A.U.";0,00;COMERCIALIZADORA LERSA , S.L.;0,00;COOPERATIVA ELÉCTRICA-BENÉFICA ALBATERENSE, COOP.V.;0,00;ENARA GESTIÓN Y MEDIACIÓN, S.L.;0,00;GESTERNOVA, S.A.;0,00;HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.;0,00;ZENCER, S. COOP. AND;0,00;;
ATENCO ENERGÍA SL;0,00;BASSOLS ENERGÍA COMERCIAL, S.L.;0,00;CEPSA GAS Y ELECTRICIDAD, S.A.;0,00;COMPAÑÍA ESCANDINAVA DE ELECTRICIDAD EN ESPAÑA, S.L.;0,00;CYE ENERGÍA, S.L.;0,00;ENDESA ENERGÍA, S.A.;0,38;GOIENER S.COOP;0,00;IBERDROLA GENERACION, S.A.U.;0,16;;;;
ATLAS ENERGÍA COMERCIAL, S.L.;0,21;BEYOND SUN SL;0,00;CHITAHI ENERGY, S.L.;0,00;COOPERATIVA ELÉCTRICA DE CASTELLAR, S.C.V.;0,00;DAIMUZ ENERGÍA, S.L.;0,36;ENERCOLUZ ENERGÍA, S.L.;0,33;HIDROCANTABRICO ENERGÍA, S.A. Unipersonal;0,19;"LA UNION ELECTRO INDUSTRIAL, S.L. ""UNIPERSONAL""";0,00;;;;
AUDAX ENERGÍA, S.L.U.;0,00;BSG ENERGÍA S.L.;0,29;CLIDOM ENERGY, S.L.;0,00;COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP. V.;0,00;DREUE ELECTRIC, S.L.;0,00;ENERGY STROM XXI, S.L.;0,40;HIDROELECTRICA DEL VALIRA, S.L.;0,14;NATURGAS ENERGÍA COMERCIALIZADORA, S.A.U.;0,21;;;;
AURA ENERGÍA, S.L.;0,00;BULB ENERGÍA IBERICA, S.L.;0,00;COMERCIALIZADORA DE ELECTRICIDAD Y GAS DEL MEDITERRÁNEO, S.L.;0,00;COOPERATIVA ELÉCTRICA BENÉFICA SAN FRANCISCO DE ASÍS, COOP. V.;0,00;DRK ENERGY, S.L.;0,00;ENERGÍA COLECTIVA, S.L.;0,00;HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.;0,00;NEXUS ENERGÍA, S.A.;0,12;;;;
AUSARTA PRIMA, S.L.;0,00;CATGAS ENERGÍA, S.A.;0,00;COMERCIALIZADORA DE ENERGÍA DIRECTA, S.L.;0,00;COOPERATIVA ELÉCTRICA-BENÉFICA ALBATERENSE, COOP.V.;0,00;EDP COMERCIALIZADORA, S.A.U.;0,24;ENERPLUS ENERGÍA, S.A.;0,01;IBERDROLA CLIENTES, S.A.U.;0,12;NEXUS RENOVABLES, S.L.;0,00;;;;
