Auton_community,Name_organ,Num_empl,Sector_organ,TCO2,Type_organ,Unnamed: 0,Year
Comunitat Valenciana,"QUÍMICAS DEL VINALOPÓ, S.L.",25.0,C. Industria manufacturera,53.0,Pequeña,1998.0,2018.0
Comunitat Valenciana,"4 PLUS INGENIEROS Y ARQUITECTOS, S.L.",32.0,"M. Actividades profesionales, científicas y técnicas",21.0,Pequeña,1999.0,2018.0
Canarias,"CIAL CANARIAS, S.L.U.",11.0,"M. Actividades profesionales, científicas y técnicas",3.0,Pequeña,2000.0,2018.0
Comunitat Valenciana,"BODEGAS MURVIEDRO, S.A.",184.0,C. Industria manufacturera,726.0,Mediana,2001.0,2019.0
Castilla y León,"RECU-MATIC, S.L.",28.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",427.0,Pequeña,2002.0,2018.0
Andalucía,"SOSTENIBILIDAD A MEDIDA, S.L.",1.0,"M. Actividades profesionales, científicas y técnicas",2.0,Micro,2003.0,2017.0
Andalucía,"SOSTENIBILIDAD A MEDIDA, S.L.",1.0,"M. Actividades profesionales, científicas y técnicas",2.0,Micro,2004.0,2018.0
"Madrid, Comunidad de","LA POSADA DE LAS LETRAS, S.L.",36.0,I. Hostelería,170.0,Pequeña,2005.0,2018.0
"Madrid, Comunidad de","CENTRAL DE CARNES PREMIUM, S.A.",3220.0,C. Industria manufacturera,1707.0,Gran empresa,2006.0,2018.0
"Asturias, Principado de",EMPRESA MUNICIPAL DE SERVICIOS DE MEDIO AMBIENTE URBANO DE GIJÓN S.A. (EMULSA),6581.0,N. Actividades administrativas y servicios auxiliares,3772.0,Gran empresa,2007.0,2018.0
"Murcia, Región de","TRANSFORMACIONES Y EXPLOTACIONES AGRICOLAS, S.L.",44.0,"A. Agricultura, ganadería, silvicultura y pesca",424.0,Pequeña,2008.0,2018.0
Galicia,"ARRIVA GALICIA, S.L.",3149.0,H. Transporte y almacenamiento,11257.0,Gran empresa,2009.0,2018.0
Galicia,"HIJOS DE RIVERA, S.A.U.",9259.0,C. Industria manufacturera,248592.0,Gran empresa,2010.0,2018.0
"Madrid, Comunidad de","SERVICIOS LOGÍSTICOS DE COMBUSTIBLE DE AVIACIÓN, S.L.",101.0,H. Transporte y almacenamiento,1798.0,Mediana,2011.0,2015.0
Comunitat Valenciana,COMUNIDAD DE REGANTES LAS CASAS LOS CORRALES DE UTIEL,4.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",154.0,Micro,2012.0,2019.0
Aragón,"AMBUARAGÓN, S.L.",32.0,Q. Actividades sanitarias y de servicios sociales,114.0,Pequeña,2013.0,2019.0
"Balears, Illes","GRUPO DAPHNIA SERVICIOS AMBIENTALES, S.L.",2.0,"M. Actividades profesionales, científicas y técnicas",3.0,Micro,2014.0,2019.0
Galicia,"TEJAS VEREA, S.A.",235.0,C. Industria manufacturera,8398.0,Mediana,2015.0,2019.0
Andalucía,"SAT GUADEX, S.L.",158.0,C. Industria manufacturera,440.0,Mediana,2016.0,2019.0
Andalucía,"FOMENTO AGRÍCOLA ANDALUZ, S.A.T. (FOASAT)",160.0,C. Industria manufacturera,436.0,Mediana,2017.0,2019.0
Andalucía,SAT 0039 SÍNTESIS,193.0,C. Industria manufacturera,1479.0,Mediana,2018.0,2019.0
"Balears, Illes",HOTEL CLUB CALA MARSAL,124.0,I. Hostelería,344.0,Mediana,2019.0,2019.0
"Madrid, Comunidad de","CANON MEDICAL SYSTEMS, S.A.",177.0,S. Otros servicios,279.0,Mediana,2020.0,2019.0
Galicia,"COSMALCA, S.L.",6.0,F. Construcción,204.0,Micro,2021.0,2019.0
Castilla y León,"OPP 2002 OBRA CIVIL, S.L.",47.0,F. Construcción,654.0,Pequeña,2022.0,2019.0
"Navarra, Comunidad Foral de","INDUSTRIAS COTOMAC, S.L.U.",35.0,C. Industria manufacturera,128.0,Pequeña,2023.0,2018.0
Cataluña,"ROMÀ INFRAESTRUCTURES I SERVEIS, S.A.U.",237.0,F. Construcción,3698.0,Mediana,2024.0,2018.0
Comunitat Valenciana,"INSTITUTO IMEDES, S.L.",48.0,"M. Actividades profesionales, científicas y técnicas",136.0,Pequeña,2025.0,2017.0
Comunitat Valenciana,"INSTITUTO IMEDES, S.L.",47.0,"M. Actividades profesionales, científicas y técnicas",117.0,Pequeña,2026.0,2018.0
Comunitat Valenciana,"INSTITUTO IMEDES, S.L.",44.0,"M. Actividades profesionales, científicas y técnicas",115.0,Pequeña,2027.0,2019.0
Castilla - La Mancha,"CANTERO DE LETUR, S.A.",180.0,C. Industria manufacturera,565.0,Mediana,2028.0,2019.0
Cataluña,"LAVOLA 1981, S.A.U.",119.0,"M. Actividades profesionales, científicas y técnicas",34.0,Mediana,2029.0,2019.0
Comunitat Valenciana,EXCELLENT CORK S.L.,30.0,C. Industria manufacturera,112.0,Pequeña,2030.0,2018.0
Canarias,"QWERTY SISTEMAS, S.L.",23.0,J. Información y comunicaciones,16.0,Pequeña,2031.0,2019.0
Cataluña,"GRANULATED RUBBER PROJECT, S.L.",19.0,C. Industria manufacturera,38.0,Pequeña,2032.0,2019.0
Castilla y León,"PRIETO PALACIO, S.L.U.",6.0,H. Transporte y almacenamiento,150.0,Micro,2033.0,2019.0
Andalucía,"CONSTRUCCIONES Y MONTAJES HERMANOS UCEDA, S.L.",36.0,F. Construcción,128.0,Pequeña,2034.0,2019.0
Galicia,"ADEGA CONDES DE ALBAREI, S.A.U.",16.0,C. Industria manufacturera,21.0,Pequeña,2035.0,2019.0
"Murcia, Región de",UTE OPERACIÓN TRANVÍA DE MURCIA,86.0,H. Transporte y almacenamiento,822.0,Mediana,2036.0,2019.0
Comunitat Valenciana,COLEGIO LA MAGDALENA,38.0,P. Educación,67.0,Pequeña,2037.0,2018.0
Cataluña,"ITRAM HIGIENE, S.L.",25.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,22.0,Pequeña,2038.0,2019.0
Andalucía,"COANDA, S.L.",41.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,91.0,Pequeña,2039.0,2018.0
País Vasco,"ZORELOR, S.A.",113.0,C. Industria manufacturera,147.0,Mediana,2040.0,2019.0
Cataluña,"CONSERVACIÓN INTEGRAL VIARIA, S.L.",19.0,F. Construcción,33.0,Pequeña,2041.0,2019.0
Cataluña,"ALDABA OBRAS REUNIDAS, S.L.",14.0,F. Construcción,23.0,Pequeña,2042.0,2019.0
Castilla - La Mancha,"INGENIA CALIDAD Y MEDIO AMBIENTE, S.L.",2.0,"M. Actividades profesionales, científicas y técnicas",3.0,Micro,2043.0,2019.0
País Vasco,"BODEGAS EGUÍA, S.L.",117.0,C. Industria manufacturera,162.0,Mediana,2044.0,2018.0
Castilla - La Mancha,"ACEITES GARCÍA DE LA CRUZ, S.L. ",27.0,C. Industria manufacturera,80.0,Pequeña,2045.0,2019.0
"Madrid, Comunidad de","AVALON TECNOLOGÍAS DE LA INFORMACIÓN, S.L.",84.0,J. Información y comunicaciones,21.0,Mediana,2046.0,2019.0
Cataluña,"TICNOVA QUALITY TEAM, S.L.",96.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,68.0,Mediana,2047.0,2019.0
Cataluña,FUNDACIÓN PUEBLO PARA PUEBLO,477.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",373.0,Gran empresa,2048.0,2019.0
Aragón,"MARGALEJO CAMPO, S.L.",47.0,F. Construcción,438.0,Pequeña,2049.0,2019.0
Castilla y León,"RECICLADO DE NEUMÁTICOS DE CASTILLA Y LEÓN, S.L.",38.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",768.0,Pequeña,2050.0,2019.0
"Madrid, Comunidad de","BRUKER ESPAÑOLA, S.A.",154.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,203.0,Mediana,2051.0,2016.0
"Madrid, Comunidad de","BRUKER ESPAÑOLA, S.A.",184.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,206.0,Mediana,2052.0,2017.0
"Madrid, Comunidad de","BRUKER ESPAÑOLA, S.A.",158.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,183.0,Mediana,2053.0,2019.0
"Madrid, Comunidad de",REAL CLUB DE GOLF LA HERRERÍA,38.0,"R. Actividades artísticas, recreativas y de entretenimiento",204.0,Pequeña,2054.0,2019.0
Comunitat Valenciana,"MEDITERRÁNEO DE OBRAS Y ASFALTOS, S.L.",19.0,F. Construcción,36.0,Pequeña,2055.0,2018.0
"Madrid, Comunidad de","INNOVIA COPTALIA, S.A.U.",221.0,F. Construcción,2350.0,Mediana,2056.0,2019.0
Comunitat Valenciana,"GLOBAL OMNIUM MEDIOAMBIENTE, S.A.",5835.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",24072.0,Gran empresa,2057.0,2019.0
Comunitat Valenciana,AGUAS DE CALPE,102.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",642.0,Mediana,2058.0,2019.0
"Madrid, Comunidad de","BRUKER ESPAÑOLA, S.A.",161.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,191.0,Mediana,2059.0,2018.0
Comunitat Valenciana,IES TORRE DEL REI,47.0,P. Educación,2623.0,Pequeña,2060.0,2019.0
Andalucía,INSTALACIONES ELÉCTRICAS FERCASA,23.0,F. Construcción,39.0,Pequeña,2061.0,2019.0
"Madrid, Comunidad de","COMPUSOF, S.A.",80.0,J. Información y comunicaciones,21.0,Mediana,2062.0,2019.0
"Navarra, Comunidad Foral de","CONSTRUCCIONES MARIEZCURRENA, S.L.",239.0,F. Construcción,3850.0,Mediana,2063.0,2019.0
País Vasco,"CONSTRUCCIONES ZUBIEDER, S.L.",47.0,F. Construcción,413.0,Pequeña,2064.0,2019.0
Comunitat Valenciana,"EMPRESA MIXTA VALENCIANA DE AGUAS, S.A.",182.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",3704.0,Mediana,2065.0,2019.0
"Asturias, Principado de","QEHS FORMACIÓN, S.L.",1.0,"M. Actividades profesionales, científicas y técnicas",2.0,Micro,2066.0,2019.0
Andalucía,"GENERAL MACHINES TECHNOLOGY, S.L.",200.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,266.0,Mediana,2067.0,2018.0
Andalucía,"GENERAL MACHINES TECHNOLOGY, S.L.",199.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,271.0,Mediana,2068.0,2019.0
"Madrid, Comunidad de","CATERING ÁVILA, S.L.",16.0,I. Hostelería,49.0,Pequeña,2069.0,2019.0
Castilla y León,LAS OBRERAS DE ALISTE,1.0,"A. Agricultura, ganadería, silvicultura y pesca",1.0,Micro,2070.0,2019.0
Comunitat Valenciana,BECSA S.A.U.,5420.0,F. Construcción,9133.0,Gran empresa,2071.0,2019.0
Comunitat Valenciana,"DURANTIA INFRAESTRUCTURAS, S.A.",2518.0,F. Construcción,936.0,Gran empresa,2072.0,2019.0
Comunitat Valenciana,"CORPORACIÓN EUROPEA DE SERVICIOS Y CAPITALES, S.A.U.",39.0,F. Construcción,172.0,Pequeña,2073.0,2019.0
Comunitat Valenciana,"VIVERS CENTRE VERD, S.A.U.",45.0,N. Actividades administrativas y servicios auxiliares,578.0,Pequeña,2074.0,2019.0
Comunitat Valenciana,"TÉCNICAS Y TRATAMIENTOS MEDIOAMBIENTALES, S.A.U.",176.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",3245.0,Mediana,2075.0,2019.0
Comunitat Valenciana,RECICLADOS PALANCIA BELCAIRE S.L.,47.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",7157.0,Pequeña,2076.0,2019.0
Comunitat Valenciana,"CASVA SEGURIDAD, S.L.",141.0,S. Otros servicios,108.0,Mediana,2077.0,2019.0
Comunitat Valenciana,"INDUSTRIAL DE ENERGÍA Y TECNOLOGÍA, S.L.",27.0,F. Construcción,82.0,Pequeña,2078.0,2019.0
"Madrid, Comunidad de","MOSAMO, S.L.U.",32.0,H. Transporte y almacenamiento,993.0,Pequeña,2079.0,2019.0
Castilla - La Mancha,"IBÉRICA DE CONCESIONES Y SERVICIOS, S.A.U.",36.0,H. Transporte y almacenamiento,1406.0,Pequeña,2080.0,2019.0
Andalucía,CHEMICAL BUILDING PROJECT,33.0,C. Industria manufacturera,115.0,Pequeña,2081.0,2019.0
"Madrid, Comunidad de","AUTOMNIBUS INTERURBANOS, S.A.",3431.0,H. Transporte y almacenamiento,12451.0,Gran empresa,2082.0,2019.0
"Madrid, Comunidad de","SIGFITO AGROENVASES, S.L.",29.0,"M. Actividades profesionales, científicas y técnicas",17.0,Pequeña,2083.0,2017.0
"Madrid, Comunidad de","SIGFITO AGROENVASES, S.L.",32.0,"M. Actividades profesionales, científicas y técnicas",21.0,Pequeña,2084.0,2018.0
"Madrid, Comunidad de","SIGFITO AGROENVASES, S.L.",32.0,"M. Actividades profesionales, científicas y técnicas",21.0,Pequeña,2085.0,2019.0
País Vasco,"ALMETAC, S.A.",35.0,C. Industria manufacturera,144.0,Pequeña,2086.0,2019.0
"Madrid, Comunidad de","FERROVIAL CORPORACIÓN, S.A.",8397.0,F. Construcción,400993.0,Gran empresa,2087.0,2019.0
Cataluña,SUMA CAPITAL SGEIC,36.0,K. Actividades financieras y de seguros,9.0,Pequeña,2088.0,2019.0
Castilla y León,"SERVICIOS SEMAT, S.A.",1355.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",1559.0,Gran empresa,2089.0,2019.0
Castilla - La Mancha,"AGROAMBIENTAL BULLAQUE, S.L.",4.0,"M. Actividades profesionales, científicas y técnicas",4.0,Micro,2090.0,2018.0
Comunitat Valenciana,"CORTAFUEGOS DEL LEVANTE, S.L.",17.0,"A. Agricultura, ganadería, silvicultura y pesca",46.0,Pequeña,2091.0,2019.0
"Madrid, Comunidad de",GRUPO COOPERATIVO CAJAMAR,2479.0,K. Actividades financieras y de seguros,2683.0,Gran empresa,2092.0,2019.0
Canarias,"TOURIN EUROPEO, S.A.",5519.0,I. Hostelería,5354.0,Gran empresa,2093.0,2017.0
Canarias,"TOURIN EUROPEO, S.A.",4474.0,I. Hostelería,5181.0,Gran empresa,2094.0,2018.0
Aragón,"GRUPO JORGE, S.L.",9231.0,"A. Agricultura, ganadería, silvicultura y pesca",107545.0,Gran empresa,2095.0,2019.0
Andalucía,"GRUPOCOPSA, S.L.",42.0,F. Construcción,199.0,Pequeña,2096.0,2019.0
Castilla y León,"GABINETE DE ESTUDIOS AMBIENTALES Y AGRONÓMICOS. INGENIEROS, S.L.",8.0,"M. Actividades profesionales, científicas y técnicas",10.0,Micro,2097.0,2019.0
"Murcia, Región de","G.P. LÍMITE ANDAMUR, S.L.",5219.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,1086.0,Gran empresa,2098.0,2018.0
"Murcia, Región de","G.P. LÍMITE ANDAMUR, S.L.",4386.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,699.0,Gran empresa,2099.0,2019.0
País Vasco,"EGA MASTER, S.L.",119.0,C. Industria manufacturera,146.0,Mediana,2100.0,2019.0
"Murcia, Región de","TRANSPORTES GRUPO CALICHE, S.L.U.",3015.0,H. Transporte y almacenamiento,6280.0,Gran empresa,2101.0,2019.0
Andalucía,"GUAMAR, S.A.",85.0,F. Construcción,65.0,Mediana,2102.0,2019.0
Andalucía,"INNOVATECNIC XXI, S.L.",9.0,"M. Actividades profesionales, científicas y técnicas",28.0,Micro,2103.0,2018.0
Andalucía,"LIFE CARE ASISTENCIA INTEGRAL, S.L.",45.0,Q. Actividades sanitarias y de servicios sociales,24794.0,Pequeña,2104.0,2019.0
Castilla y León,"CONSTRUCCIONES Y OBRAS LLORENTE, S,A. 'COLLOSA'",244.0,F. Construcción,6165.0,Mediana,2105.0,2019.0
"Madrid, Comunidad de",GRUPO OHL,9798.0,F. Construcción,790883.0,Gran empresa,2106.0,2019.0
Cataluña,"PROSEÑAL, S.L.U.",58.0,F. Construcción,18.0,Mediana,2107.0,2019.0
Cataluña,"M Y J GRÚAS, S.A.",223.0,F. Construcción,1382.0,Mediana,2108.0,2019.0
Cataluña,"SAYTEL SERVICIOS INFORMATICOS, S.A.",192.0,J. Información y comunicaciones,171.0,Mediana,2109.0,2018.0
Cataluña,"SEIDOR, S.A.",65.0,J. Información y comunicaciones,7.0,Mediana,2110.0,2018.0
"Rioja, La","CALZADOS ROBUSTA, S.L.",132.0,C. Industria manufacturera,247.0,Mediana,2111.0,2019.0
Comunitat Valenciana,"IDAI NATURE, S.L.",131.0,C. Industria manufacturera,155.0,Mediana,2112.0,2019.0
Comunitat Valenciana,"WEIDNER IBERICA, S.L.U.",152.0,C. Industria manufacturera,301.0,Mediana,2113.0,2019.0
Andalucía,LIME DMC ,57.0,S. Otros servicios,4.0,Mediana,2114.0,2019.0
"Madrid, Comunidad de","BARROSO NAVA Y CÍA, S.A.",12.0,F. Construcción,15.0,Pequeña,2115.0,2019.0
Andalucía,"GRUPO CONSIDERA, S.L.",6.0,"M. Actividades profesionales, científicas y técnicas",7.0,Micro,2116.0,2019.0
"Madrid, Comunidad de","FATECSA OBRAS, S.A.",172.0,F. Construcción,327.0,Mediana,2117.0,2019.0
Castilla - La Mancha,SANTIAGO SERRANO NAVARRO,3.0,"A. Agricultura, ganadería, silvicultura y pesca",11.0,Micro,2118.0,2019.0
Extremadura,360 SOLUCIONES CAMBIO CLIMÁTICO,1.0,"M. Actividades profesionales, científicas y técnicas",2.0,Micro,2119.0,2019.0
Comunitat Valenciana,"TEXTILS MORA, S.A.L.",206.0,C. Industria manufacturera,1221.0,Mediana,2120.0,2019.0
Cataluña,"CELLNEX TELECOM ESPAÑA, S.L.",8540.0,J. Información y comunicaciones,86703.0,Gran empresa,2121.0,2019.0
"Murcia, Región de","PRODUCTOS SUR, S.A.",124.0,C. Industria manufacturera,131.0,Mediana,2122.0,2019.0
Galicia,"AUTOMOVILES Y MOTORES EUROPEOS, S.A.U.",35.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,59.0,Pequeña,2123.0,2017.0
Comunitat Valenciana,"CEBOLLAS TARA, S.L.",196.0,C. Industria manufacturera,861.0,Mediana,2124.0,2018.0
Comunitat Valenciana,"CEBOLLAS TARA, S.L.",137.0,C. Industria manufacturera,251.0,Mediana,2125.0,2019.0
"Madrid, Comunidad de","ISO EXPERTISE ESPAÑA, S.L.",6.0,"M. Actividades profesionales, científicas y técnicas",6.0,Micro,2126.0,2019.0
País Vasco,"AZTES INGENIERÍA, S.L.",1.0,"M. Actividades profesionales, científicas y técnicas",1.0,Micro,2127.0,2019.0
Castilla - La Mancha,MARÍA CARMEN ROMERO GARCÍA,3.0,"A. Agricultura, ganadería, silvicultura y pesca",11.0,Micro,2128.0,2018.0
Castilla - La Mancha,RAQUEL VOZMEDIANO DEL OLMO,4.0,"A. Agricultura, ganadería, silvicultura y pesca",15.0,Micro,2129.0,2019.0
Extremadura,ESTUMARK DISEÑO DE ESTUCHERÍA,13.0,C. Industria manufacturera,4.0,Pequeña,2130.0,2019.0
Castilla y León,"APLICACIONES MECÁNICAS VÁLVULAS INDUSTRIALES, S.A.",154.0,C. Industria manufacturera,430.0,Mediana,2131.0,2019.0
Comunitat Valenciana,"DELGO OPERADOR DE TRANSPORTE, S.L.",238.0,H. Transporte y almacenamiento,14490.0,Mediana,2132.0,2019.0
Cataluña,"IBERCOMPOUND, S.L.",27.0,C. Industria manufacturera,78.0,Pequeña,2133.0,2019.0
"Madrid, Comunidad de",KYOCERA DOCUMENT SOLUTIONS ESPAÑA S.A.,182.0,S. Otros servicios,281.0,Mediana,2134.0,2019.0
"Asturias, Principado de","BIOSFERA CONSULTORIA MEDIOAMBIENTAL, S.L.",43.0,"M. Actividades profesionales, científicas y técnicas",75.0,Pequeña,2135.0,2019.0
Comunitat Valenciana,"JOSE MIGUEL POVEDA, S.A.",12.0,C. Industria manufacturera,9.0,Pequeña,2136.0,2018.0
Comunitat Valenciana,"JOSE MIGUEL POVEDA, S.A.",16.0,C. Industria manufacturera,18.0,Pequeña,2137.0,2019.0
Cataluña,"ROMÀ INFRAESTRUCTURES I SERVEIS, S.A.U.",232.0,F. Construcción,3523.0,Mediana,2138.0,2019.0
Comunitat Valenciana,"BSG INGENIEROS, S.L.",39.0,"M. Actividades profesionales, científicas y técnicas",38.0,Pequeña,2139.0,2019.0
Andalucía,"CLAN TECNOLÓGICA, S.L.",13.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,10.0,Pequeña,2140.0,2019.0
"Madrid, Comunidad de","VISUAL MERCHANDISER, S.L.",13.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,11.0,Pequeña,2141.0,2019.0
Cataluña,"J.A. ROMERO POLO, S.A.U.",201.0,F. Construcción,821.0,Mediana,2142.0,2019.0
"Murcia, Región de","ARADA INGENIERÍA, S.L.",35.0,"M. Actividades profesionales, científicas y técnicas",34.0,Pequeña,2143.0,2016.0
"Murcia, Región de","ARADA INGENIERÍA, S.L.",35.0,"M. Actividades profesionales, científicas y técnicas",30.0,Pequeña,2144.0,2017.0
"Murcia, Región de","ARADA INGENIERÍA, S.L.",32.0,"M. Actividades profesionales, científicas y técnicas",23.0,Pequeña,2145.0,2018.0
"Murcia, Región de","ARADA INGENIERÍA, S.L.",30.0,"M. Actividades profesionales, científicas y técnicas",22.0,Pequeña,2146.0,2019.0
Comunitat Valenciana,"POVEDA TEXTIL (GABRIEL POVEDA FERRIOLS, S.L.)",13.0,C. Industria manufacturera,23.0,Pequeña,2147.0,2019.0
Comunitat Valenciana,"DIAVIDA, S.L.",41.0,Q. Actividades sanitarias y de servicios sociales,244.0,Pequeña,2148.0,2019.0
Aragón,"ESPRINET IBÉRICA, S.L.U.",2641.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,112.0,Gran empresa,2149.0,2019.0
País Vasco,"VINZEO TECHNOLOGIES, S.A.U.",2866.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,114.0,Gran empresa,2150.0,2019.0
Cataluña,GRUPO SIFU,9672.0,Q. Actividades sanitarias y de servicios sociales,7661.0,Gran empresa,2151.0,2019.0
Andalucía,"BRÓCOLI, S.L.",7397.0,N. Actividades administrativas y servicios auxiliares,4835.0,Gran empresa,2152.0,2019.0
"Madrid, Comunidad de","ALLERGAN ESPAÑA, S.A.",215.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,461.0,Mediana,2153.0,2019.0
"Murcia, Región de","CONSTRUCCIONES INIESTA, S.L.U.",157.0,F. Construcción,235.0,Mediana,2154.0,2016.0
"Murcia, Región de","CONSTRUCCIONES INIESTA, S.L.U.",137.0,F. Construcción,215.0,Mediana,2155.0,2019.0
Castilla - La Mancha,ENRIQUE PARDO MARTÍNEZ,6.0,"A. Agricultura, ganadería, silvicultura y pesca",27.0,Micro,2156.0,2018.0
Cataluña,"RUBAU TARRÉS, S.A.U.",46.0,F. Construcción,2898.0,Pequeña,2157.0,2019.0
"Madrid, Comunidad de","SOGESEL DESARROLLO Y GESTIÓN, S.L.",12.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",24.0,Pequeña,2158.0,2019.0
Cataluña,MAS SALAGROS ECORESORT,120.0,I. Hostelería,323.0,Mediana,2159.0,2019.0
Galicia,"MARISCOS LINAMAR, S.L.",39.0,C. Industria manufacturera,241.0,Pequeña,2160.0,2019.0
Andalucía,"EAST WEST PRODUCTOS TEXTILES, S.L.",225.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,454.0,Mediana,2161.0,2019.0
Andalucía,"MERCAGRANADA, S.A.",40.0,L. Actividades inmobiliarias,224.0,Pequeña,2162.0,2018.0
Cataluña,"MENARINI DIAGNÓSTICOS, S.A.",188.0,S. Otros servicios,456.0,Mediana,2163.0,2019.0
Andalucía,"INGENIERIA E INTEGRACION AVANZADAS, S.A.",176.0,J. Información y comunicaciones,154.0,Mediana,2164.0,2019.0
País Vasco,"EGA MASTER, S.L.",119.0,C. Industria manufacturera,140.0,Mediana,2165.0,2016.0
País Vasco,"EGA MASTER, S.L.",111.0,C. Industria manufacturera,143.0,Mediana,2166.0,2017.0
País Vasco,"EGA MASTER, S.L.",115.0,C. Industria manufacturera,149.0,Mediana,2167.0,2018.0
Cantabria,"VIALINE GESTIÓN, S.L.",31.0,N. Actividades administrativas y servicios auxiliares,39.0,Pequeña,2168.0,2019.0
Galicia,"COOPERATIVA VITIVINÍCOLA AROUSANA, SCG - PACO & LOLA",11.0,"A. Agricultura, ganadería, silvicultura y pesca",33.0,Pequeña,2169.0,2019.0
"Madrid, Comunidad de","UNISYS, S.L.U.",190.0,J. Información y comunicaciones,147.0,Mediana,2170.0,2018.0
"Madrid, Comunidad de","UNISYS, S.L.U.",134.0,J. Información y comunicaciones,68.0,Mediana,2171.0,2019.0
Cataluña,"CONSTRUCCIONES RUBAU, S.A.",516.0,F. Construcción,442.0,Gran empresa,2172.0,2019.0
"Navarra, Comunidad Foral de","ABARCA SPORTS, S.L.",65.0,"R. Actividades artísticas, recreativas y de entretenimiento",175.0,Mediana,2173.0,2019.0
Castilla y León,"DISCOMTES ENERGÍA, S.L.",225.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,497.0,Mediana,2174.0,2019.0
Cataluña,"ARCHROMA IBERICA, S.L.",5829.0,C. Industria manufacturera,14221.0,Gran empresa,2175.0,2019.0
Castilla - La Mancha,"ADMINISTRADORA DE ARCHIVOS, S.A. (ADEA)",195.0,N. Actividades administrativas y servicios auxiliares,290.0,Mediana,2176.0,2019.0
Comunitat Valenciana,"CANALIZACIONES Y DERRIBOS SAFOR, S.L.",46.0,F. Construcción,549.0,Pequeña,2177.0,2019.0
País Vasco,GRUPO IBERDROLA,7594.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",70423653.0,Gran empresa,2178.0,2019.0
Andalucía,"HORTOFRUTÍCOLA NARANJALES DEL GUADALQUIVIR, S.C.A.",17.0,"A. Agricultura, ganadería, silvicultura y pesca",72.0,Pequeña,2179.0,2019.0
Comunitat Valenciana,IN SIDE LOGISTICS,59.0,H. Transporte y almacenamiento,37.0,Mediana,2180.0,2019.0
País Vasco,"SODE, S.A.",47.0,C. Industria manufacturera,1628.0,Pequeña,2181.0,2019.0
Galicia,"CELTIC ESTORES, S.L.",137.0,C. Industria manufacturera,285.0,Mediana,2182.0,2019.0
Cataluña,"ROS ROCA, S.A.",3488.0,C. Industria manufacturera,1727.0,Gran empresa,2183.0,2016.0
Cataluña,"ROS ROCA, S.A.",3533.0,C. Industria manufacturera,1759.0,Gran empresa,2184.0,2017.0
Cataluña,"ROS ROCA, S.A.",4103.0,C. Industria manufacturera,1649.0,Gran empresa,2185.0,2018.0
Cataluña,"ROS ROCA, S.A.",3860.0,C. Industria manufacturera,1550.0,Gran empresa,2186.0,2019.0
Comunitat Valenciana,"HILATURAS FERRE, S.A.",91.0,C. Industria manufacturera,50.0,Mediana,2187.0,2019.0
"Madrid, Comunidad de","SORIGUÉ ACSA CONSERVACIÓN DE INFRAESTRUCTURAS, S.A.",173.0,F. Construcción,385.0,Mediana,2188.0,2019.0
Comunitat Valenciana,"TECNO-OFICINAS y P.L.V., S.L.",11.0,C. Industria manufacturera,14.0,Pequeña,2189.0,2019.0
Castilla y León,"OMAWA HUELLA ECOLÓGICA, S.L.",20.0,"M. Actividades profesionales, científicas y técnicas",7.0,Pequeña,2190.0,2018.0
