Auton_community,Name_organ,Num_empl,Sector_organ,TCO2,Type_organ,Unnamed: 0,Year
"Asturias, Principado de","GRUPO PFS CANTÁBRICO GESTIÓN EMPRESARIAL, S.L.",12.0,S. Otros servicios,7.0,Pequeña,68.0,2013.0
"Balears, Illes","ALCUDIAMAR, S.L.",120.0,"R. Actividades artísticas, recreativas y de entretenimiento",599.0,Mediana,69.0,2013.0
País Vasco,"EUROPEA DE TRABAJOS FORESTALES, S.L.",32.0,"A. Agricultura, ganadería, silvicultura y pesca",177.0,Pequeña,70.0,2011.0
"Navarra, Comunidad Foral de","CONSTRUCCIONES MARIEZCURRENA, S.L.",239.0,F. Construcción,5916.0,Mediana,71.0,2013.0
Canarias,"CETENSA CANARIAS, S.A.",47.0,S. Otros servicios,339.0,Pequeña,72.0,2013.0
"Murcia, Región de","DISFRIMUR, S.L.",7991.0,H. Transporte y almacenamiento,38946.0,Gran empresa,73.0,2013.0
Andalucía,"JIMÉNEZ PUERTAS ASESORÍA DE EMPRESAS, S.L.",12.0,N. Actividades administrativas y servicios auxiliares,7.0,Pequeña,74.0,2013.0
Andalucía,"SULAYR CALIDAD, S.L.",13.0,N. Actividades administrativas y servicios auxiliares,2.0,Pequeña,75.0,2013.0
País Vasco,"COMERCIAL DE LIMPIEZA VILLAR, S.A.",164.0,S. Otros servicios,149.0,Mediana,76.0,2013.0
País Vasco,"ELIMSER, EUROPEA DE LIMPIEZAS Y SERVICIOS",24.0,N. Actividades administrativas y servicios auxiliares,29.0,Pequeña,77.0,2013.0
Andalucía,"SAT GUADEX, S.L.",166.0,C. Industria manufacturera,397.0,Mediana,78.0,2014.0
Andalucía,SAT 9934 EXPORT SURFRUIT,201.0,C. Industria manufacturera,1169.0,Mediana,79.0,2014.0
Castilla y León,ERRE ESE,1.0,"M. Actividades profesionales, científicas y técnicas",1.0,Micro,80.0,2013.0
Comunitat Valenciana,SOCIEDAD DE FOMENTO AGRICOLA CASTELLONENSE S.A. (FACSA),167.0,"D. Suministro de energía eléctrica, gas, vapor y aire acondicionado",6408.0,Mediana,81.0,2013.0
Comunitat Valenciana,"CHOZAS CARRASCAL, S.L.",9.0,C. Industria manufacturera,568.0,Micro,82.0,2012.0
"Madrid, Comunidad de","INDUSTRIAS GES, S.A.",34.0,C. Industria manufacturera,125.0,Pequeña,83.0,2013.0
"Madrid, Comunidad de",GRUPO BANKINTER,4820.0,K. Actividades financieras y de seguros,11932.0,Gran empresa,84.0,2012.0
"Madrid, Comunidad de",GRUPO BANKINTER,4580.0,K. Actividades financieras y de seguros,11281.0,Gran empresa,85.0,2013.0
Cataluña,"FAMA SYSTEMS, S.A.",28.0,J. Información y comunicaciones,21.0,Pequeña,86.0,2013.0
"Madrid, Comunidad de","VÍAS Y CONSTRUCCIONES, S.A.",8246.0,F. Construcción,327282.0,Gran empresa,87.0,2010.0
"Madrid, Comunidad de","VÍAS Y CONSTRUCCIONES, S.A.",7224.0,F. Construcción,266089.0,Gran empresa,88.0,2011.0
"Madrid, Comunidad de","VÍAS Y CONSTRUCCIONES, S.A.",7767.0,F. Construcción,156961.0,Gran empresa,89.0,2012.0
"Madrid, Comunidad de","VÍAS Y CONSTRUCCIONES, S.A.",7477.0,F. Construcción,136244.0,Gran empresa,90.0,2013.0
Comunitat Valenciana,"URGENTIA DEL LEVANTE, S.L.",16.0,N. Actividades administrativas y servicios auxiliares,10.0,Pequeña,91.0,2014.0
País Vasco,"BASOINSA, S.L.",186.0,"M. Actividades profesionales, científicas y técnicas",87.0,Mediana,92.0,2013.0
Comunitat Valenciana,JOSÉ MIGUEL SANZ MARTÍN,2.0,H. Transporte y almacenamiento,40.0,Micro,93.0,2013.0
Comunitat Valenciana,BECSA S.A.U.,4885.0,F. Construcción,6987.0,Gran empresa,94.0,2013.0
País Vasco,"BILMAN BUS, S.L.",164.0,H. Transporte y almacenamiento,4806.0,Mediana,95.0,2013.0
Castilla y León,"PETROMAS, S.L.",3.0,H. Transporte y almacenamiento,49.0,Micro,96.0,2012.0
Comunitat Valenciana,"VIVERS CENTRE VERD, S.A.U.",39.0,N. Actividades administrativas y servicios auxiliares,463.0,Pequeña,97.0,2013.0
Comunitat Valenciana,"DURANTIA INFRAESTRUCTURAS, S.A.",3585.0,F. Construcción,2209.0,Gran empresa,98.0,2013.0
Comunitat Valenciana,"TÉCNICAS Y TRATAMIENTOS MEDIOAMBIENTALES, S.A.U.",164.0,"E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",3125.0,Mediana,99.0,2013.0
Castilla y León,"PETROMAS, S.L.",3.0,H. Transporte y almacenamiento,49.0,Micro,100.0,2013.0
Castilla - La Mancha,"EL PANADERO DE VILLARES, S. L.",9.0,C. Industria manufacturera,225.0,Micro,101.0,2013.0
Castilla - La Mancha,"HERMANOS BRICIO, S.A.",48.0,C. Industria manufacturera,1280.0,Pequeña,102.0,2013.0
Castilla - La Mancha,"EL PANADERO, S.L.",40.0,C. Industria manufacturera,264.0,Pequeña,103.0,2013.0
Castilla - La Mancha,"ALTA Y BAJA DENSIDAD, S.A.",43.0,C. Industria manufacturera,618.0,Pequeña,104.0,2013.0
Castilla - La Mancha,"CHAPELA DE CUENCA, S.L.",43.0,G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas,130.0,Pequeña,105.0,2013.0
Castilla - La Mancha,"ADITIVOS INDUSTRIALES Y SERVICIOS PARA EL AGUA, S.L.",15.0,"A. Agricultura, ganadería, silvicultura y pesca",60.0,Pequeña,106.0,2013.0
Castilla - La Mancha,"TRISORGAR, S.L.",20.0,C. Industria manufacturera,38.0,Pequeña,107.0,2013.0
